geo,growth_percent,avg_land_premium,volatility_score,drawdown_pct
"Kitchener-Cambridge-Waterloo, Ontario",38.62977014059364,1.2777595946316957,5.793546881358858,-3.682896379525579
"Calgary, Alberta",35.33803543781182,0.9295798803359981,8.913862412791197,0.0
"Windsor, Ontario",32.41410625094596,0.9148022306159029,4.562718847696178,-2.4882313382649555
"Montréal, Quebec",31.068422188646664,0.9403760483182297,4.169621922214003,0.0
"Winnipeg, Manitoba",30.841004836948038,0.8101877981396394,4.223426667621796,-2.367688022284127
Manitoba,30.841004836948038,0.830696541556857,4.400475629986924,-2.367688022284127
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",30.181147486990323,1.1680214503100723,5.081010361835175,-7.10631040363843
"Québec, Quebec",28.296103049078784,0.7767508407129331,3.3723826464094975,0.0
Quebec,27.201606306239324,0.9268196983935378,3.786644489366958,0.0
Alberta,23.88722255548889,0.9402676322693732,8.181769771470462,0.0
Prairie Region,23.78474878857436,0.9334296853830836,7.347136043518065,0.0
"London, Ontario",23.21405613884722,1.3471414814038691,4.422239688123725,-3.511141120864273
"Charlottetown, Prince Edward Island",18.568665377176018,0.8675860515840739,2.859509568510069,-0.16286644951140297
Prince Edward Island,18.568665377176018,0.8675860515840739,2.859509568510069,-0.16286644951140297
Canada,18.404684656168403,1.086946078654417,4.526053591906031,-1.2688342585249757
"Vancouver, British Columbia",18.180704441041357,0.9814996673229954,6.467585852912158,-1.2364760432766682
British Columbia,17.74317866502234,0.9604442616290515,5.38084085958062,-1.6317016317016275
"Kelowna, British Columbia",16.468342348075097,0.9554463712789587,4.537206971057423,-1.9261637239165261
"Saint John, Fredericton, and Moncton, New Brunswick",15.86206896551724,0.9149572156692612,2.943303191772305,0.0
New Brunswick,15.86206896551724,0.946489446589757,2.325362310223706,0.0
Ontario,15.77203035465386,1.3152605348575237,5.649461190766333,-3.1347962382445145
"Oshawa, Ontario",15.549568111577758,0.9800418029789137,4.327065469724673,-0.6557377049180304
"Victoria, British Columbia",15.349061145883484,0.6319590126894206,5.891475412556573,-10.16566265060242
"Greater Sudbury, Ontario",15.121006776379481,0.9650541460420107,3.5529943707440332,-2.7868852459016438
"St. Catharines-Niagara, Ontario",14.127390453244995,1.2061321100411035,4.351066721029006,-3.90804597701149
"Halifax, Nova Scotia",13.988221436984688,1.0193692401310606,2.576524561785349,-0.24590163934426
Nova Scotia,13.988221436984688,1.0216357999436654,2.5782758633009615,-0.24590163934426
Atlantic Region,13.748176956733104,0.9214313229058164,2.393772269830619,0.0
"Guelph, Ontario",11.339832237587858,0.9007393216400449,3.7461959419340602,-1.451612903225804
"Edmonton, Alberta",11.110352479303586,0.9066344205724164,8.227120781580288,-6.255355612682088
"Toronto, Ontario",10.520975923987425,1.4226280961033004,7.259308062128047,-2.076124567474041
"Saskatoon, Saskatchewan",10.289855072463764,0.8970561388385966,8.022367367275706,-1.5525114155251167
Saskatchewan,10.003503854239678,0.9406628544446148,6.874086566273347,-1.122544434050517
"Regina, Saskatchewan",9.577414134148531,0.9523342893257031,5.615968822857351,-0.8729388942773925
"Trois-Rivières, Quebec",8.793364702129356,0.9589010796752453,1.5373326921843942,0.0
Newfoundland and Labrador,8.577256501784785,0.9274560223901247,4.332485030826963,0.0
"St. John's, Newfoundland and Labrador",8.577256501784785,0.9198230337077216,4.138729184565825,0.0
"Sherbrooke, Quebec",6.859066859066855,0.9830605445413122,2.0409270815530185,-1.9451812555260732
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",6.721953466943116,0.923710347553117,2.100071852085589,-0.17241379310345073
"Hamilton, Ontario",6.373592233009699,1.310430913599471,4.310001222412426,-2.226027397260269
