geo,start_year,start_value,end_year,end_value,growth_percent
"Montréal, Quebec",1981,30.016666666666666,2024,151.81,405.75235980011104
"Winnipeg, Manitoba",1981,28.2,2024,139.76,395.60283687943263
"Calgary, Alberta",1981,26.733333333333334,2024,131.12,390.47381546134665
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",1981,34.55833333333333,2024,164.69,376.55654690137453
"Regina, Saskatchewan",1981,21.599999999999998,2024,101.56,370.1851851851853
"Kitchener-Cambridge-Waterloo, Ontario",1981,34.766666666666666,2024,155.3,346.69223394055615
"London, Ontario",1981,33.50833333333333,2024,143.76,329.02760507336484
"Québec, Quebec",1981,31.308333333333334,2024,131.14000000000001,318.86611658237956
"St. Catharines-Niagara, Ontario",1981,31.03333333333333,2024,126.32000000000001,307.04618689581105
"Toronto, Ontario",1981,31.40833333333333,2024,114.38,264.17086760413906
"Hamilton, Ontario",1981,31.99166666666667,2024,114.13,256.7491534253711
Canada,1981,40.00833333333333,2024,124.69000000000001,211.6600708185795
"Saskatoon, Saskatchewan",1981,34.94166666666667,2024,106.54,204.9081803005008
"Edmonton, Alberta",1981,37.05833333333333,2024,108.49000000000001,192.7546660670115
"St. John's, Newfoundland and Labrador",1981,36.44166666666667,2024,106.46,192.13812028355815
"Windsor, Ontario",1981,59.94166666666666,2024,145.81,143.25316279716392
"Saint John, Fredericton, and Moncton, New Brunswick",1981,57.041666666666664,2024,119.84,110.09203798392988
"Greater Sudbury, Ontario",1981,56.791666666666664,2024,118.92,109.3969185619956
"Vancouver, British Columbia",1981,87.69166666666666,2024,128.62,46.67300199562863
"Victoria, British Columbia",1981,128.96666666666667,2024,119.79,-7.115533729645899
