geo,start_value,end_year,end_value,growth_percent
"Kitchener-Cambridge-Waterloo, Ontario",112.02499999999999,2024,155.3,38.62977014059364
"Calgary, Alberta",96.88333333333333,2024,131.12,35.33803543781182
"Windsor, Ontario",110.11666666666667,2024,145.81,32.41410625094596
"Montréal, Quebec",115.825,2024,151.81,31.068422188646664
"Winnipeg, Manitoba",106.81666666666666,2024,139.76,30.841004836948038
Manitoba,106.81666666666666,2024,139.76,30.841004836948038
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",126.50833333333333,2024,164.69,30.181147486990323
"Québec, Quebec",102.21666666666665,2024,131.14000000000001,28.296103049078784
Quebec,112.05833333333334,2024,142.54000000000002,27.201606306239324
Alberta,97.24166666666667,2024,120.47,23.88722255548889
Prairie Region,98.02499999999999,2024,121.34,23.78474878857436
"London, Ontario",116.675,2024,143.76,23.21405613884722
"Charlottetown, Prince Edward Island",103.39999999999999,2024,122.6,18.568665377176018
Prince Edward Island,103.39999999999999,2024,122.6,18.568665377176018
Canada,105.30833333333334,2024,124.69000000000001,18.404684656168403
"Vancouver, British Columbia",108.83333333333333,2024,128.62,18.180704441041357
British Columbia,108.11666666666667,2024,127.3,17.74317866502234
"Kelowna, British Columbia",104.76666666666667,2024,122.02000000000001,16.468342348075097
"Saint John, Fredericton, and Moncton, New Brunswick",103.43333333333334,2024,119.84,15.86206896551724
New Brunswick,103.43333333333334,2024,119.84,15.86206896551724
Ontario,107.61666666666667,2024,124.59,15.77203035465386
"Oshawa, Ontario",105.15833333333335,2024,121.50999999999999,15.549568111577758
"Victoria, British Columbia",103.85000000000001,2024,119.79,15.349061145883484
"Greater Sudbury, Ontario",103.3,2024,118.92,15.121006776379481
"St. Catharines-Niagara, Ontario",110.68333333333334,2024,126.32000000000001,14.127390453244995
"Halifax, Nova Scotia",106.125,2024,120.97,13.988221436984688
Nova Scotia,106.125,2024,120.97,13.988221436984688
Atlantic Region,102.85000000000001,2024,116.99000000000001,13.748176956733104
"Guelph, Ontario",110.27499999999999,2024,122.78,11.339832237587858
"Edmonton, Alberta",97.64166666666667,2024,108.49000000000001,11.110352479303586
"Toronto, Ontario",103.49166666666667,2024,114.38,10.520975923987425
"Saskatoon, Saskatchewan",96.60000000000001,2024,106.54,10.289855072463764
Saskatchewan,95.13333333333333,2024,104.65,10.003503854239678
"Regina, Saskatchewan",92.68333333333334,2024,101.56,9.577414134148531
"Trois-Rivières, Quebec",104.49166666666666,2024,113.67999999999999,8.793364702129356
Newfoundland and Labrador,98.05000000000001,2024,106.46,8.577256501784785
"St. John's, Newfoundland and Labrador",98.05000000000001,2024,106.46,8.577256501784785
"Sherbrooke, Quebec",103.95,2024,111.08,6.859066859066855
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",108.52499999999999,2024,115.82000000000001,6.721953466943116
"Hamilton, Ontario",107.29166666666667,2024,114.13,6.373592233009699
